GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2,st_ageerr,st_age_norm,st_ageerr_norm
2051926226306177792,3.98,4.07,-2.33,3.2,-0.09271648890336648,1.3244779578279802
2051933102555095936,7.1,4.4,-4.6,4.5,1.198649519978914,1.862547128195597
2051933343073295232,2.88,1.1,-1.11,1.105,-0.5480057869067346,0.4573587948124744
2051937019565051520,3.09,1.42,-1.4,1.41,-0.4610869209242735,0.5835981001679537
2051937638040407808,3.24,0.952,-0.62,0.786,-0.39900201665108675,0.32532489839149764
2052069201482198784,3.72,3.68,-2.02,2.85,-0.20033032297688977,1.1796131811905448
2052074389802779904,4.57,6.1,-2.78,4.4399999999999995,0.1514841345711675,1.8377131664863222
2052085934674652544,2.69,1.32,-0.958,1.139,-0.6266466656527709,0.47143137311439665
2052086072113643264,3.39,1.6,-1.76,1.6800000000000002,-0.33691711237790023,0.6953509278596897
2052117923590073600,7.0,3.0,-4.0,3.5,1.1572595837967898,1.4486477663743533
2052124692458750976,4.68,6.11,-2.9,4.505,0.19701306437150407,1.8646166250047032
2052136752727511552,1.35,0.33,-0.19,0.26,-1.1812718104932376,0.10761383407352339
2052140601018026496,4.47,4.18,-2.71,3.445,0.11009419838904289,1.4258833014741847
2052144621107902208,4.27,3.6,-2.5,3.05,0.027314326024794056,1.2623930535547934
2052168466766597120,3.09,1.09,-0.61,0.8500000000000001,-0.4610869209242735,0.35181445754805724
2052203273182353920,4.47,4.82,-2.76,3.79,0.11009419838904289,1.568678581302514
2052212996988534656,3.8,4.97,-2.26,3.6149999999999998,-0.16721837403119041,1.4962461929837962
2052232410241029248,4.27,3.92,-2.54,3.23,0.027314326024794056,1.3368949386826174
2052234368740841600,3.63,1.79,-1.91,1.85,-0.23758126554080183,0.765713819369301
2052356964290178048,4.17,5.51,-2.54,4.025,-0.014075610157330175,1.6659449313305064
2052388643966743424,2.63,0.959,-0.944,0.9515,-0.6514806273620456,0.3938252427729135
2052392835854583936,2.51,2.14,-0.96,1.55,-0.7011485507805949,0.6415440108229279
2052397886736075264,2.24,0.85,-0.668,0.759,-0.8129013784723306,0.314149615622324
2052435819888356864,4.27,3.37,-2.54,2.955,0.027314326024794056,1.2230726141817754
2052450079180319744,4.27,2.83,-2.32,2.575,0.027314326024794056,1.0657908566897027
2052456263933727744,4.47,5.7,-2.75,4.225,0.11009419838904289,1.748724803694755
2052480728067657600,2.88,1.22,-1.17,1.1949999999999998,-0.5480057869067346,0.49460973737638625
2052548107508601216,4.27,3.11,-2.31,2.71,0.027314326024794056,1.1216672705355706
2052559480582595456,4.37,4.19,-2.56,3.375,0.06870426220691865,1.3969103461466978
2052567623840745216,4.07,3.6,-2.37,2.9850000000000003,-0.05546554633945441,1.2354895950364129
2052568585913107072,2.95,1.29,-1.2,1.245,-0.5190328315792475,0.5153047054674486
2052582432887909376,5.4,3.4,-2.8,3.0999999999999996,0.49502060488279986,1.2830880216458556
2052585044228107008,8.13,2.0,-3.37,2.685,1.6249658626547956,1.1113197864900395
2052603289249806976,2.82,1.83,-1.2,1.5150000000000001,-0.5728397486160093,0.6270575331591843
2052616586468670976,3.31,2.62,-1.56,2.09,-0.37002906132359975,0.8650496662063994
2052629162133190784,2.14,0.47,-0.38,0.425,-0.854291314654455,0.1759072287740286
2052643696302706944,4.37,5.68,-2.73,4.205,0.06870426220691865,1.7404468164583302
2052653729346427136,6.46,3.14,-3.87,3.505,0.9337539284133181,1.4507172631834595
2052662422359019904,4.79,3.44,-2.8,3.12,0.24254199417184102,1.2913660088822807
2052666992204482816,5.25,5.95,-3.3,4.625,0.4329357006096131,1.9142845484232525
2052691044021500032,4.79,5.9,-2.86,4.38,0.24254199417184102,1.8128792047770477
2052695678282371840,4.57,3.67,-2.66,3.165,0.1514841345711675,1.3099914801642365
2052717466660745984,3.39,2.04,-1.71,1.875,-0.33691711237790023,0.776061303414832
