GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
2076782889978499840,4.9,3.54,-2.53
2076783920770722560,4.27,5.24,-2.59
2076790552200353536,4.17,5.56,-2.41
2076819276942298496,2.95,1.92,-1.24
2076848310922066048,3.31,2.21,-1.57
2076871091425583232,1.47,NULL,NULL
2076880231116348672,3.72,4.36,-2.04
2076891329311747584,3.09,2.43,-1.41
2076924314661348736,5.62,6.07,-3.71
2076943796633684352,3.31,2.65,-1.69
2076947266967292928,3.89,4.26,-2.18
2076960598545789824,8.5,1.1,-1.4
2076970047474270208,3.16,0.39,-0.39
2077041103410971392,3.02,1.7,-1.22
2077119748545602304,2.09,1.45,-0.759
2077119752853895552,3.16,2.06,-1.45
2077144491865963776,4.68,5.65,-2.71
2077176618218057216,4.07,3.6,-2.34
2077219052496826368,2.4,0.89,-0.773
2077232246636173056,4.9,5.79,-3.1
2077241558125147904,3.16,1.37,-1.43
2077243138673356928,3.39,0.4,-0.4
2077383395124052096,4.57,4.53,-2.79
2077383670001955968,3.98,2.27,-2.22
2077389820395188736,3.55,2.63,-1.86
2077409645964537472,6.31,3.15,-3.81
2077413734773457536,5.01,6.05,-3.1
2077424210192781440,4.47,5.65,-2.78
2077479121354236160,3.47,2.21,-1.8
2077536673917322368,4.79,4.15,-2.99
2077553200951551360,4.27,5.62,-2.63
2077556465126659456,4.37,2.7,-2.56
2077580345142027136,4.47,4.43,-2.71
2077586873492185344,0.8,0.9,-0.5
2077595394707557120,4.17,4.07,-2.5
2077598384004774912,2.04,1.07,-0.619
2077601407662547072,3.98,2.42,-2.2
2077604981077075712,3.24,1.85,-1.45
2077617930392844800,3.5,1.3,-1.3
2077689059355373440,1.62,0.632,-0.42
2077722010342674944,4.37,4.26,-2.65
2077728538692850816,4.17,5.54,-2.37
2077738571736987008,4.47,6.05,-2.85
2077764169742391808,1.95,0.62,-0.454
2077774821262122752,5.13,5.86,-3.26
2077805263989929728,4.37,4.32,-2.69
2077811410082955776,6.17,3.54,-3.84
2077823440291891840,4,1.7,-1.7
2077831239952281472,4.07,4.8,-2.41
2077837115462974080,4.07,0.72,-0.5
2077837390345483904,4.37,5.08,-2.64
2077858143627173504,2.4,0.997,-0.735
2077889892023816960,1,NULL,NULL
2077891644372852864,2.82,0.863,-1.08
2077892640805120128,4.9,6.09,-3.13
2077894083914484352,3.8,2.21,-1.98
2077894736749534080,4.07,5.41,-2.43
2077895183426195712,4.57,5.09,-2.88
2077902914366974464,4.68,5.7,-2.97
2077911332502996224,3.55,2.01,-1.76
2077954724552784640,4.37,4.8,-2.62
2077954866292643840,4.17,2.7,-2.2
2077956171962729856,3.47,1.89,-1.6
2077961463362645632,3.31,2.8,-1.61
2077967888633787264,3.31,1.96,-1.59
2077967957353259136,4.07,4.38,-2.39
2077988401397704320,4.57,5.48,-2.88
2077994272606400512,1.86,1.15,-0.594
2078003897636955008,3.8,3.73,-2.1
2078008703696509056,3.55,1.19,-1.58
2078012796808952832,4.79,6.13,-2.99
2078019187720711424,3.98,3.15,-2.23
2078025990949149056,3.09,1.99,-1.31
2078038738412342656,2.82,1.53,-1.14
2078049767888231936,1.62,0.52,-0.32
2078088005976092416,4.17,2.83,-2.36
2078097665364576384,4.17,2.67,-2.31
2078125359313871488,4.57,6.34,-2.85
2078147796220283776,4.37,4.13,-2.62
2078175627609397376,3.47,1.59,-1.74
2078176589682140160,4.27,3.18,-2.5
2078201809729303040,3.89,3.06,-2.22
2078225792827512704,2.24,5,-0.884
2078284547978727808,4.17,3.92,-2.45
2078286197246582016,4.68,6.47,-2.92
2078291832243170048,5.01,5.88,-2.95
2078297810838102272,3.09,1.55,-1.35
2078310008545447808,4.47,6.1,-2.78
2078316296378319488,4.17,2.64,-2.15
2078399790542181376,3.8,3.26,-2.03
2078431642023279488,2.24,1.28,-0.704
2078446691589261696,2.34,1.24,-0.763
2078511803294780032,4.37,6.13,-2.68
2078515170549178880,0.65,0.44,-0.44
2078549908245590400,3.8,4.65,-2.13
2078648211455026432,4.27,5.15,-2.56
2078696005850500608,4.68,6.19,-2.89
2078707035323917568,3.63,2.89,-2
2078726238114989824,4.68,5.6,-2.91
2078729609672614784,3.39,2.81,-1.61
2078752149661192832,4.37,5.3,-2.69
2078758433192866816,4.47,6.08,-2.76
2078785787845558656,1.66,0.488,-0.32
2078801009210349440,3.39,2.49,-1.7
2078801971283008128,3.16,2.26,-2.26
2078818944993952256,4.37,4,-2.63
2078832929407597312,3.02,5.91,-1.48
2078840900864235136,5.01,5.8,-3.13
2078849112841866624,2.69,1.74,-1.04
2078920821617340416,3.09,2.01,-1.4
2078933569080413056,2.82,1.08,-1.11
2078999608496984448,2.95,2.62,-1.23
2079000330051813504,4,NULL,NULL
2079000330051813504,4,0.6,-0.6
2079005651508492032,1.78,0.632,-0.499
2079028676836456960,4.27,5.42,-2.57
2079056714383865856,3.63,3.8,-1.94
2079139864948330752,4.9,1.88,-2.48
2079192121810035840,7.41,4.28,-4.88
2079247239132750720,3.39,4.59,-1.82
2079295514562689280,2.51,1.33,-0.949
2079295583282164992,10,2.3,-2.3
2079298435140815360,1.7,0.751,-0.38
2079323758268003968,3.8,3.3,-2.02
2079404572371719680,4.37,5.92,-2.57
2079548917633369472,3.39,2.55,-1.72
2079563829758338432,4.37,2.57,-2.29
2079597124345617280,6,2,-2
2079608703576897024,3.98,3.54,-2.23
2079650828617180288,4.37,6.13,-2.64
2079669589034384000,4.57,5.71,-2.87
2079691991583086592,3.24,2.04,-1.44
2079700100481104000,4.37,5.3,-2.64
2079728790863754752,4.07,5.22,-2.43
2079733154550359424,6.76,5.15,-4
2079749956462030720,2.19,0.989,-0.643
2079750265699679872,2.82,1.22,-1.06
2079752464723012096,7.76,1.5,-2.62
2079804588446924672,4.37,5.12,-2.7
2079807646464016256,4.68,6.3,-3.01
2079813934296000512,4.37,5.36,-2.73
2079877568529123328,4.79,6.2,-3.02
2079897050500386944,2.75,1.39,-1.04
2079902101382181248,3.55,1.92,-1.68
2079905193758608384,4.37,5.4,-2.44
2079920140245373184,3.98,2.87,-2.24
2079920552562267904,2.75,1.08,-1.07
2079920724360946560,6.03,5.91,-3.53
2079963811474106496,4.07,3.15,-2.38
2079981712895637248,4.37,6.25,-2.68
2080016106994504704,3.16,1.68,-1.4
2080018374737161984,2.88,5.26,-1.36
2080048680026646912,4.27,4.54,-2.58
2080054761700390272,3.39,6.07,-1.79
2080057269961317120,3.8,2.64,-2.08
2080058266393766656,3.8,5.3,-2.16
2080061393129929088,3.89,3.27,-2.16
2080061942886335744,4.4,1.3,-1.1
2080067440445173760,1.78,0.534,-0.4
2080070975195117312,3.55,5.32,-2.19
2080098840942920704,1.38,0.508,-0.27
2080165846735990144,2.34,2.08,-1.03
2080168561154800384,2.1,0.8,-0.9
2080172576942778112,3.8,3.08,-2.05
2080188249284118528,4.27,4.09,-2.62
2080193506325008256,4.37,3.8,-2.66
2080202611655694336,4.37,5.82,-2.68
2080247996570836736,2.82,0.914,-1.08
2080269819302745216,4.37,3.86,-2.61
2080286483776060544,4.79,6.13,-2.99
2080300949226451200,2.88,1.14,-1.1
2080310088916950016,4.47,5.98,-2.78
2080314315164334464,3.98,3.02,-2.17
2080326444152019456,4.27,4.52,-2.6
2080353416547448320,5.37,1.94,-2.69
2080355615570219904,3.39,0.947,-1.37
2080362899836411136,1.91,0.61,-0.443
2080369355161370240,3.63,1.88,-1.67
2080381625890666496,4.17,5.92,-2.38
2080388566557873280,3.47,5.95,-1.84
2080390353264322944,4.17,5.58,-2.57
2080406364902715776,4.27,2.64,-2.45
2080452613110460928,5.62,3.07,-3.35
2080453025427246848,2.4,1.92,-0.99
2080466185207274880,3.55,2.65,-1.8
2080476321330727808,3.8,6.04,-2.07
2080484842545877120,3.89,3.5,-2.18
2080529922521395712,12.3,1.6,-3
2080534148769345408,5.13,5.96,-3.23
2080548957816447872,4.57,5.83,-2.64
2080562667352233728,5.13,3.6,-2.91
2080563320187721344,5.13,5.74,-3.11
2080580328258222208,10.47,2.2,-4.47
2080605823183999616,9.12,1.9,-2.09
2080650559563974144,5.5,2.3,-2.97
2080657740749601792,3.39,2.88,-1.66
2080811118319262080,4.3,1.6,-1.1
2081875484241210240,2.59,1.94,-1.61
2081897989863673216,3,7.7,-0.3
2081897989863673216,4.07,5.83,-2.26
2082074942519913344,4.83,NULL,NULL
2082142734285082368,0.046,0.009,-0.007
2082161219824397568,1.48,0.512,-0.27
2082162147537254400,4.07,6.02,-2.5
2082286632869692928,2.34,1.45,-0.827
2083061376251298688,2.45,0.92,-0.84
2083391813854073856,3,2.5,-2.5
2085193569812098944,4.37,5.08,-2.66
2085210887120749824,1.55,0.674,-0.3
2085222191474854656,5.8,2.4,-1.5
2085225627448615424,4.17,4.72,-2.45
2085258750237006208,4.27,3.77,-2.45
2085286890863482752,3.09,0.7,-0.62
2085337502756644224,4.57,5.76,-2.81
2085502463860057984,3.8,4,-2.11
